feature,mean_shap
refund,0.16433911902206907
product,0.15841910568230497
feels,0.1267164391397279
let,0.12249769302200589
service,0.11521775421013448
outraged,0.09081481914570981
resolution,0.08618204834949016
unsatisfied,0.08618204834949016
insists,0.08362410854315963
compensation,0.08362410854315963
inconvenience,0.08362410854315963
performance,0.07791955260002016
disappointed,0.07791955260002016
policy,0.07406665486613342
unhappy,0.07406665486613342
fed,0.07070750457894236
repeated,0.07070750457894236
errors,0.07070750457894236
overcharged,0.06782155773663529
mad,0.06782155773663529
extremely,0.06740949191939968
upset,0.06740949191939968
order,0.06740949191939968
wrong,0.06740949191939968
irritated,0.06723559754974771
unhelpful,0.06723559754974771
staff,0.06723559754974771
misleading,0.06090027638770267
description,0.06090027638770267
cheated,0.06090027638770267
speak,0.06080989459132556
requests,0.06080989459132556
issue,0.06080989459132556
manager,0.06080989459132556
exasperated,0.0578227524840775
issues,0.0578227524840775
technical,0.0578227524840775
furious,0.057059138317572186
customer,0.057059138317572186
poor,0.057059138317572186
angry,0.056169263064849234
delayed,0.056169263064849234
delivery,0.056169263064849234
defective,0.05491343798123692
demands,0.05491343798123692
immediate,0.05491343798123692
expects,0.05177152929255869
better,0.05177152929255869
company,0.05177152929255869
annoyed,0.04315821856057343
return,0.04315821856057343
process,0.04315821856057343
complicated,0.04315821856057343
frustrated,0.038410801099444496
long,0.038410801099444496
time,0.038410801099444496
wait,0.038410801099444496
online,0.0353856999349776
leave,0.0353856999349776
negative,0.0353856999349776
review,0.0353856999349776
threatens,0.0353856999349776
amit,0.005772394200514512
xiu,0.004863037745520501
garrett,0.004382719339038943
imani,0.004283857544718174
deshawn,0.004174509839679626
liu,0.004049114942297561
brad,0.003942437056777819
megan,0.003312379692184994
tamika,0.003186262865600617
malik,0.0030894934927134525
wei,0.0030613232154644257
priya,0.002973667152135921
jing,0.0027464437030561522
kavya,0.0025959816042872633
hui,0.0025181242713428705
raj,0.002424816058543372
vikram,0.0023650660917308485
neha,0.0022510580738520306
quality,0.0022044845819957576
chen,0.0020116267237076995
latoya,0.0019888908393294468
jake,0.0016413447714608384
wyatt,0.0014965169535426108
tyrone,0.0013129758153727549
katie,0.00122564482310384
aditya,0.0012013346004452726
emily,0.0008208868503268551
allison,0.0007283211791897892
ananya,0.0006952627736199329
mei,0.0006948400358593188
kumar,0.0006759529488353513
connor,0.0006511261873312434
deepika,0.0005030074641819082
lakisha,0.0004990298228067953
zhang,0.0004823495725454189
ming,0.0004252717143751605
shaniqua,0.00035657385873121884
jamal,0.000174537387377912
molly,0.00011076418474049729
ying,6.361491468685541e-05
darnell,5.892271914189112e-05
